hours,Ordered,Collected,Received,First Result,Final Verified
0,1.0,0.06817240730284209,7.528703180877094e-05,0.0,0.0
1,1.0,0.9170713344626388,0.3562017692452475,0.05134575569358178,0.04052324487107096
2,1.0,0.9296066252587992,0.39529456051195183,0.239939770374553,0.23466967814793901
3,1.0,0.9381893468849991,0.4570863918690006,0.29085262563523434,0.28503670242800677
4,1.0,0.9450969320534538,0.5571616789008094,0.38752117447769624,0.37707509881422924
5,1.0,0.9495765104460757,0.67442123094297,0.5310370788631659,0.518840579710145
6,1.0,0.9526444569922831,0.7769245247506117,0.6832486354225484,0.6718614718614718
7,1.0,0.9547336721249765,0.8501035196687371,0.8001693958215698,0.790438546960286
8,1.0,0.955862977602108,0.8963674007152268,0.8734236777715039,0.8678336156597026
9,1.0,0.9566158479201957,0.9255223037831734,0.9159608507434595,0.9121964991530209
10,1.0,0.956841709015622,0.9414455110107284,0.9408055712403538,0.9378693769998118
11,1.0,0.9571052136269528,0.948051948051948,0.9514398644833427,0.9495012234142669
12,1.0,0.9572181441746659,0.9503858460380199,0.9561829474872953,0.9546019198193111
13,1.0,0.9572934312064747,0.9519292301900998,0.958498023715415,0.9571993224167137
14,1.0,0.9573875399962356,0.9527762092979484,0.9597967250141163,0.9586485977790326
15,1.0,0.9574063617541878,0.9536231884057971,0.9608319217014869,0.9597967250141163
16,1.0,0.9574063617541878,0.9542819499341239,0.9615283267457181,0.9607189911537738
17,1.0,0.9574816487859966,0.9546772068511199,0.9623188405797102,0.9616036137775268
18,1.0,0.9575569358178054,0.9548654244306418,0.9627893845285149,0.9622811970638058
19,1.0,0.9576134010916619,0.9550536420101637,0.962996423865989,0.9627140974967062
20,1.0,0.9576322228496141,0.955185394315829,0.9632222849614154,0.9629587803500848
21,1.0,0.9576698663655185,0.9553171466214945,0.9634857895727461,0.9632975719932242
22,1.0,0.9576886881234707,0.9554112554112554,0.9635234330886505,0.9633916807829851
23,1.0,0.9576886881234707,0.9555994729907773,0.9637116506681724,0.9636363636363636
24,1.0,0.9576886881234707,0.9557312252964427,0.9638245812158855,0.9637681159420289
25,1.0,0.9576886881234707,0.9557688688123471,0.9639375117635988,0.9638998682476944
